

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2016-09-19T09:00:54PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
18|2SLAQ J230856.90+003341.2|347.23708 |   0.56144 |G|-52434|-0.174900 | ?  |22.0r|  0.000|1|0|0|0|1|0|0
19|SDSS J110119.72-010537.0|165.33217 |  -1.09363 |G|-51564|-0.172000 | ?  |21.6g|  0.000|1|0|19|1|1|4|0
20|SDSS J140419.00-000650.5|211.07917 |  -0.11403 |G|-41941|-0.139900 | ?  |21.7g|  0.000|1|0|15|1|1|4|0
21|2SLAQ J140530.14-001223.4|211.37558 |  -0.20650 |G|-34266|-0.114300 | ?  |21.6r|  0.000|1|0|0|0|1|0|0
22|SDSS J132422.09-003954.9|201.09205 |  -0.66526 |G|-27791|-0.092700 | ?  |22.9g|  0.000|1|0|15|1|1|4|0
23|[GSB2009] J193810.39-474716.4 |294.54329 | -47.78789 |G| -8624|-0.028767 |    |     |  0.000|1|0|0|0|1|0|0
24|[HB89] 0312-770:[PWC2011] 2676| 47.64208 | -76.97306 |G| -8493|-0.028330 |    |18.8R|  0.000|1|0|1|0|1|0|0
25|[GSB2009] J030314.78+015503.0 | 45.81158 |   1.91750 |G| -8144|-0.027165 | ?  |     |  0.000|1|0|0|0|1|0|0
26|SDSS J142922.17+010638.9|217.34241 |   1.11082 |G| -7600|-0.025350 |    |20.4g|  0.000|1|0|23|2|1|4|0
27|2SLAQ J134148.32+002245.0|205.45133 |   0.37917 |G| -7585|-0.025300 | ?  |21.7r|  0.000|1|0|0|0|1|0|0
28|6dF J0537101-283428| 84.29258 | -28.57442 |G| -7530|-0.025117 |    |18.5R|  0.000|1|0|0|0|1|0|1
29|PKS 2005-489:[PWC2011] 5722|302.64042 | -49.00528 |G| -5876|-0.019600 |    |19.9R|  0.000|1|0|2|0|1|0|0
30|SDSS J023129.48-001221.4| 37.87286 |  -0.20597 |G| -5516|-0.018400 |:   |21.2g|  0.000|1|0|15|1|1|4|0
31|SDSS J155511.89+111905.1|238.79958 |  11.31810 |G| -4272|-0.014250 |    |21.2g|  0.000|1|0|21|1|1|4|0
32|2MASX J01071029-2241274| 16.79283 | -22.69100 |G| -2022|-0.006745 |    |16.87|  0.000|1|0|18|3|1|2|0
33|FAIRALL 0232| 47.25340 | -73.96109 |G| -1290|-0.004303 |    |     |  0.000|2|0|0|0|1|0|0
34|SDSS J155532.96+110159.0|238.88737 |  11.03308 |G| -1283|-0.004280 |    |21.5g|  0.000|1|0|17|1|1|4|0
35|DEEP2 42057067| 37.23391 |   0.78531 |G| -1245|-0.004153 |:   |21.7R|  0.000|7|0|0|0|1|0|0
36|DEEP2 42101187| 37.21857 |   0.80718 |*| -1241|-0.004139 |:   |22.7R|  0.000|7|0|0|0|1|0|0
37|DEEP2 42033129| 37.25050 |   0.59006 |G| -1241|-0.004138 | ?  |23.7R|  0.000|7|0|0|0|1|0|0
38|DEEP2 32023398|352.16385 |   0.19385 |*| -1239|-0.004134 |:   |23.2R|  0.000|5|0|0|0|0|0|0
39|DEEP2 42039511| 37.43180 |   0.66055 |G| -1238|-0.004129 | ?  |22.5R|  0.000|7|0|0|0|0|0|0
40|DEEP2 42039667| 37.41359 |   0.62854 |*| -1237|-0.004125 |    |22.6R|  0.000|7|0|0|0|1|0|0
41|DEEP2 42032993| 37.33043 |   0.59809 |G| -1236|-0.004124 | ?  |23.9R|  0.000|7|0|0|0|1|0|0
42|DEEP2 41025728| 36.54675 |   0.51539 |*| -1235|-0.004120 | ?  |23.4R|  0.000|6|0|5|0|1|0|0
43|DEEP2 41004784| 37.17726 |   0.40072 |*| -1235|-0.004120 |:   |23.4R|  0.000|6|0|0|0|0|0|0
44|DEEP2 42031896| 37.44272 |   0.59651 |*| -1235|-0.004120 | ?  |23.6R|  0.000|7|0|0|0|1|0|0
45|DEEP2 42031801| 37.44073 |   0.57991 |*| -1235|-0.004118 | ?  |23.8R|  0.000|7|0|0|0|0|0|0
46|SDSS J022908.94+003431.1| 37.28729 |   0.57532 |*| -1233|-0.004113 |:   |22.7g|  0.000|5|0|5|1|1|4|0
47|DEEP2 42032369| 37.35204 |   0.60414 |G| -1233|-0.004112 | ?  |23.9R|  0.000|7|0|0|0|1|0|0
48|DEEP2 42017990| 37.26302 |   0.48727 |*| -1232|-0.004109 |:   |23.9R|  0.000|6|0|0|0|1|0|0
49|DEEP2 42059471| 37.57208 |   0.80975 |G| -1232|-0.004108 | ?  |23.9R|  0.000|7|0|0|0|1|0|0
50|DEEP2 42061711| 37.17072 |   0.78871 |G| -1231|-0.004107 |1LIN|23.6R|  0.000|7|0|0|0|1|0|0
51|DEEP2 42032381| 37.35054 |   0.58911 |*| -1231|-0.004107 | ?  |23.8R|  0.000|7|0|0|0|1|0|0
52|DEEP2 41000497| 37.17333 |   0.36754 |*| -1231|-0.004106 |:   |23.9R|  0.000|6|0|0|0|0|0|0
53|DEEP2 41000617| 37.17409 |   0.35980 |*| -1231|-0.004106 |:   |22.9R|  0.000|6|0|0|0|0|0|0
54|DEEP2 42059413| 37.55692 |   0.79911 |G| -1231|-0.004106 |:   |23.6R|  0.000|7|0|0|0|1|0|0
55|DEEP2 41042102| 37.05804 |   0.70914 |*| -1231|-0.004106 | ?  |23.7R|  0.000|5|0|0|0|0|0|0
56|2MASX J02304296+0041400| 37.67900 |   0.69431 |G| -1230|-0.004104 | ?  |18.9g|  0.000|6|0|14|1|0|6|0
57|DEEP2 42031934| 37.45575 |   0.56518 |G| -1229|-0.004100 |:   |23.7R|  0.000|8|0|0|1|1|0|0
58|DEEP2 42031086| 37.47129 |   0.59402 |G| -1229|-0.004098 | ?  |23.1R|  0.000|7|0|0|0|1|0|0
59|DEEP2 41012858| 37.09566 |   0.46949 |*| -1229|-0.004098 | ?  |23.3R|  0.000|5|0|0|0|1|0|0
60|DEEP2 42059767| 37.50278 |   0.80282 |G| -1228|-0.004097 | ?  |23.8R|  0.000|7|0|0|0|1|0|0
61|DEEP2 41030843| 36.73140 |   0.59003 |*| -1228|-0.004097 | ?  |23.3R|  0.000|5|0|0|0|1|0|0
62|DEEP2 41049990| 37.03247 |   0.78580 |*| -1228|-0.004096 | ?  |23.9R|  0.000|5|0|0|0|1|0|0
63|DEEP2 42059825| 37.49615 |   0.80939 |G| -1228|-0.004095 | ?  |23.6R|  0.000|7|0|0|0|1|0|0
64|DEEP2 42029981| 37.58202 |   0.58801 |G| -1227|-0.004094 |:   |24.0R|  0.000|7|0|0|0|1|0|0
65|DEEP2 41012292| 37.16713 |   0.45157 |G| -1227|-0.004093 | ?  |23.8R|  0.000|7|0|0|0|1|0|0
66|DEEP2 41026628| 37.15003 |   0.58451 |*| -1227|-0.004092 | ?  |23.7R|  0.000|5|0|0|0|1|0|0
67|DEEP2 42060086| 37.42759 |   0.80624 |G| -1226|-0.004089 | ?  |22.9R|  0.000|7|0|0|0|1|0|0
68|DEEP2 42032982| 37.30682 |   0.60760 |*| -1226|-0.004089 | ?  |23.3R|  0.000|7|0|0|0|1|0|0
69|DEEP2 42059988| 37.43585 |   0.82066 |G| -1225|-0.004087 | ?  |23.9R|  0.000|7|0|0|0|1|0|0
70|DEEP2 42060833| 37.29386 |   0.79391 |*| -1225|-0.004085 |:   |23.2R|  0.000|7|0|0|0|1|0|0
71|DEEP2 42030534| 37.57114 |   0.57274 |G| -1224|-0.004083 | ?  |23.7R|  0.000|7|0|0|0|0|0|0
72|DEEP2 41030956| 36.72852 |   0.58930 |*| -1223|-0.004081 |:   |23.2R|  0.000|6|0|0|0|1|0|0
73|DEEP2 42061263| 37.29037 |   0.80233 |G| -1222|-0.004077 |:   |23.1R|  0.000|7|0|0|0|1|0|0
74|DEEP2 42032444| 37.39846 |   0.58291 |G| -1222|-0.004077 |:   |23.2R|  0.000|7|0|0|0|1|0|0
75|DEEP2 42032074| 37.40573 |   0.59779 |G| -1221|-0.004072 |:   |23.0R|  0.000|7|0|0|0|1|0|0
76|SDSS J164703.58+345244.2|251.76494 |  34.87897 |*| -1220|-0.004068 | ?  |23.6g|  0.000|4|0|15|1|0|3|0
77|DEEP2 42047776| 37.34536 |   0.67361 |G| -1219|-0.004067 | ?  |23.5R|  0.000|7|0|0|0|1|0|0
78|DEEP2 42053428| 37.53753 |   0.77906 |G| -1219|-0.004067 |:   |22.7R|  0.000|7|0|0|0|1|0|0
79|DEEP2 41055603| 37.16414 |   0.80393 |G| -1218|-0.004063 |:   |23.7R|  0.000|7|0|0|0|1|0|0
80|DEEP2 41058227| 36.75666 |   0.81932 |*| -1218|-0.004062 | ?  |23.5R|  0.000|5|0|0|0|1|0|0
81|DEEP2 41043505| 36.93761 |   0.69675 |*| -1214|-0.004051 | ?  |23.4R|  0.000|6|0|0|0|1|0|0
82|DEEP2 41026178| 37.19957 |   0.58613 |G| -1213|-0.004047 | ?  |22.6R|  0.000|7|0|0|0|1|0|0
83|DEEP2 41056888| 36.95021 |   0.82686 |*| -1212|-0.004042 |:   |24.0R|  0.000|6|0|0|0|1|0|0
84|DEEP2 41056006| 37.10657 |   0.81576 |*| -1211|-0.004038 |:   |23.5R|  0.000|6|0|0|0|1|0|0
85|DEEP2 41058955| 36.64644 |   0.81947 |*| -1209|-0.004033 |    |23.6R|  0.000|6|0|0|0|1|0|0
86|DEEP2 41056393| 37.03058 |   0.81144 |*| -1208|-0.004031 | ?  |23.2R|  0.000|6|0|0|0|1|0|0
87|DEEP2 41003169| 36.75720 |   0.37963 |*| -1207|-0.004025 | ?  |23.6R|  0.000|6|0|0|0|1|0|0
88|DEEP2 42049400| 37.17845 |   0.68105 |G| -1206|-0.004022 | ?  |23.9R|  0.000|7|0|0|0|1|0|0
89|DEEP2 41058333| 36.75586 |   0.82112 |*| -1206|-0.004022 | ?  |23.9R|  0.000|5|0|0|0|1|0|0
90|DEEP2 41057249| 36.93099 |   0.80350 |*| -1205|-0.004020 | ?  |23.5R|  0.000|5|0|0|0|1|0|0
91|[MET2007] J073.46317-03.01010 | 73.46317 |  -3.01010 |G| -1199|-0.004000 |    |     |  0.000|1|0|0|0|1|0|0
92|[MET2007] J073.48448-03.11757 | 73.48448 |  -3.11758 |G| -1199|-0.004000 |    |     |  0.000|1|0|0|0|1|0|0
93|[MET2007] J073.56295-02.87623 | 73.56295 |  -2.87623 |G| -1199|-0.004000 |    |     |  0.000|1|0|0|0|1|0|0
94|[MET2007] J073.57601-03.15462 | 73.57601 |  -3.15462 |G| -1199|-0.004000 |    |     |  0.000|1|0|0|0|1|0|0
95|[MET2007] J073.72061-02.96179 | 73.72062 |  -2.96179 |G| -1199|-0.004000 |    |     |  0.000|1|0|0|0|1|0|0
96|SDSS J164950.13+345144.0|252.45891 |  34.86224 |G| -1197|-0.003994 |:   |22.8g|  0.000|6|0|18|1|0|4|0
97|DEEP2 42047772| 37.30839 |   0.70627 |G| -1197|-0.003993 | ?  |23.9R|  0.000|7|0|0|0|1|0|0
98|SDSS J165230.11+350108.0|253.12549 |  35.01891 |*| -1196|-0.003988 | ?  |22.6g|  0.000|6|0|15|1|0|3|0
99|DEEP2 41012602| 37.07721 |   0.47772 |*| -1195|-0.003985 | ?  |23.7R|  0.000|6|0|0|0|1|0|0
100|SDSS J164820.47+345517.5|252.08532 |  34.92155 |*| -1194|-0.003982 | ?  |21.5R|  0.000|5|0|15|1|0|4|0
101|SDSS J233219.48+000117.1|353.08117 |   0.02142 |*| -1187|-0.003958 | ?  |23.5R|  0.000|4|0|15|1|0|4|0
102|DEEP2 41059095| 36.65142 |   0.79999 |*| -1172|-0.003908 | ?  |23.6R|  0.000|5|0|0|0|1|0|0
103|DEEP2 42030618| 37.57891 |   0.60448 |G| -1163|-0.003881 | ?  |23.8R|  0.000|7|0|0|0|1|0|0
104|DEEP2 41018456| 36.54804 |   0.44714 |*| -1161|-0.003873 | ?  |23.8R|  0.000|6|0|5|0|0|0|0
105|SDSS J022846.20+003601.4| 37.19254 |   0.60040 |G| -1160|-0.003868 | ?  |23.4g|  0.000|7|0|5|1|1|4|0
106|DEEP2 41059202| 36.56992 |   0.82140 |VisS| -1151|-0.003838 | ?  |23.6R|  0.000|7|0|5|0|1|0|0
107|DEEP2 42047277| 37.37272 |   0.72647 |*| -1146|-0.003822 |:   |23.8R|  0.000|6|0|0|0|1|0|0
108|DEEP2 42038686| 37.51096 |   0.64728 |*| -1131|-0.003771 |:   |23.8R|  0.000|7|0|0|0|1|0|0
109|DEEP2 42032551| 37.33476 |   0.60560 |G| -1124|-0.003749 | ?  |23.1R|  0.000|7|0|0|0|1|0|0
110|DEEP2 42056914| 37.20632 |   0.74852 |G| -1080|-0.003601 |:   |24.0R|  0.000|7|0|0|0|1|0|0
111|DEEP2 42049442| 37.18523 |   0.67424 |G| -1078|-0.003596 | ?  |23.4R|  0.000|7|0|0|0|1|0|0
112|DEEP2 42032462| 37.38198 |   0.60379 |G| -1074|-0.003581 | ?  |23.2R|  0.000|7|0|0|0|1|0|0
113|DEEP2 42018400| 37.21808 |   0.47265 |*| -1064|-0.003549 | ?  |23.9R|  0.000|5|0|0|0|1|0|0
114|DEEP2 41041096| 37.13796 |   0.71698 |*| -1062|-0.003544 |:   |23.4R|  0.000|6|0|0|0|1|0|0
115|DEEP2 42015145| 37.52626 |   0.46234 |*| -1054|-0.003516 |:   |23.2R|  0.000|7|0|0|0|1|0|0
116|[GSB2009] J201448.93-242922.2 |303.70387 | -24.48950 |G| -1020|-0.003402 |:   |     |  0.000|1|0|0|0|1|0|0
117|DEEP2 41059804| 36.53197 |   0.80580 |*| -1019|-0.003398 | ?  |23.6R|  0.000|7|0|5|0|1|0|0
118|DEEP2 41041149| 37.14673 |   0.71620 |G|  -992|-0.003310 |:   |24.0R|  0.000|7|0|0|0|1|0|0
119|SDSS J023017.24+002308.5| 37.57184 |   0.38570 |G|  -956|-0.003190 |:   |23.2g|  0.000|6|0|15|1|0|3|0
120|DEEP2 42061105| 37.25395 |   0.81083 |*|  -939|-0.003132 | ?  |23.7R|  0.000|7|0|0|0|1|0|0
121|DEEP2 42040800| 37.27674 |   0.64925 |*|  -924|-0.003082 | ?  |23.7R|  0.000|7|0|0|0|1|0|0
122|2dFGRS N163Z160|163.98413 |  -4.12706 |*|  -907|-0.003025 |:   |19.44|  0.000|0|0|1|2|0|0|0
123|DEEP2 41040560| 37.17151 |   0.69144 |G|  -882|-0.002942 | ?  |23.6R|  0.000|7|0|0|0|1|0|0
124|DEEP2 22059330|252.77643 |  35.16495 |*|  -874|-0.002917 |:   |21.8R|  0.000|6|0|0|0|0|0|0
125|DEEP2 42015697| 37.48152 |   0.46111 |G|  -870|-0.002901 |:   |23.4R|  0.000|7|0|0|0|1|0|0
126|2SLAQ J100359.56-002114.5|150.99817 |  -0.35403 |G|  -839|-0.002800 |:   |22.1r|  0.000|1|0|0|0|1|0|0
127|APMUKS(BJ) B111330.06+014631.3|169.01779 |   1.50239 |G|  -833|-0.002779 |:   |19.60|  0.000|1|0|1|1|1|0|1
128|SDSS J165028.94+344708.7|252.62059 |  34.78577 |*|  -827|-0.002760 | ?  |22.7g|  0.000|4|0|15|1|0|4|0
129|DEEP2 41059380| 36.55846 |   0.79007 |*|  -815|-0.002717 | ?  |23.8R|  0.000|6|0|5|0|1|0|0
130|DEEP2 42026596| 37.17654 |   0.51162 |*|  -800|-0.002667 |:   |23.8R|  0.000|6|0|0|0|1|0|0
131|DEEP2 42100294| 37.56743 |   0.50075 |G|  -794|-0.002650 | ?  |23.9R|  0.000|7|0|0|0|1|0|0
132|2dFGRS S917Z323|318.30237 | -40.98299 |*|  -792|-0.002642 |:   |17.6r|  0.000|0|0|1|1|0|0|0
133|SDSS J232932.33+002541.3|352.38472 |   0.42816 |G|  -785|-0.002620 | ?  |22.2g|  0.000|6|0|15|1|0|4|0
134|SDSS J100601.63-030140.2|151.50682 |  -3.02785 |G|  -785|-0.002617 |:   |19.06|  0.000|1|0|20|3|0|4|0
135|DEEP2 42038674| 37.51656 |   0.65923 |G|  -772|-0.002574 | ?  |23.8R|  0.000|7|0|0|0|0|0|0
136|VCC 0846|186.46049 |  13.19764 |G|  -730|-0.002435 |    |16.18|  0.000|33|0|25|4|3|6|0
137|DEEP2 42022776| 37.52706 |   0.50239 |G|  -726|-0.002423 | ?  |23.9R|  0.000|7|0|0|0|1|0|0
138|SDSS J215537.88-091832.8|328.90786 |  -9.30914 |G|  -725|-0.002420 |    |21.2g|  0.000|1|0|17|1|1|4|0
139|2dFGRS S917Z489|317.70692 | -41.27747 |*|  -700|-0.002336 |    |17.7r|  0.000|0|0|1|2|1|0|0
140|VCC 0815|186.40505 |  13.14372 |G|  -700|-0.002335 |    |16.1 |  0.000|31|1|28|6|4|4|0
141|DEEP2 41050683| 36.95887 |   0.76605 |*|  -689|-0.002298 | ?  |22.9R|  0.000|6|0|0|0|1|0|0
142|VCC 0892|186.58352 |  12.51011 |G|  -666|-0.002222 |    |18.32|  0.000|11|0|0|2|2|0|2
143|DEEP2 42048214| 37.31723 |   0.70022 |G|  -645|-0.002152 | ?  |22.9R|  0.000|7|0|0|0|1|0|0
144|DEEP2 42024505| 37.38472 |   0.54976 |*|  -633|-0.002112 | ?  |23.9R|  0.000|7|0|0|0|0|0|0
145|SDSS J121851.47-025022.7|184.71449 |  -2.83966 |*|  -631|-0.002104 |    |19.43|  0.000|0|0|6|3|0|4|0
146|VCC 0953|186.72817 |  13.56618 |G|  -629|-0.002098 |    |15.91|  0.000|25|0|24|4|5|6|0
147|2dFGRS N145Z182|214.21061 |  -4.08407 |*|  -622|-0.002074 |:   |19.27|  0.000|0|0|1|1|0|0|0
148|DEEP2 41037864| 36.74191 |   0.61772 |*|  -622|-0.002074 |:   |23.5R|  0.000|6|0|0|0|1|0|0
149|DEEP2 41011389| 37.19529 |   0.45686 |*|  -609|-0.002032 | ?  |23.7R|  0.000|5|0|0|0|1|0|0
150|[MET2007] J073.39025-02.94561 | 73.39025 |  -2.94561 |G|  -600|-0.002000 |    |     |  0.000|1|0|0|0|1|0|0
151|[MET2007] J073.62325-02.95727 | 73.62325 |  -2.95728 |G|  -600|-0.002000 |    |     |  0.000|1|0|0|0|1|0|0
152|IC 3492|188.33241 |  12.85343 |G|  -575|-0.001918 |    |15.09|  0.000|59|2|37|11|6|9|0
153|DEEP2 42040490| 37.33634 |   0.67102 |G|  -568|-0.001894 | ?  |23.4R|  0.000|7|0|0|0|1|0|0
154|Andromeda XII| 11.86250 |  34.37472 |G|  -559|-0.001863 |    |     |  0.000|59|0|1|9|5|0|0
155|VCC 1683|189.15724 |  10.93851 |G|  -558|-0.001861 |    |17.0:|  0.000|13|0|5|4|0|4|0
156|GALEXASC J030254.44-282054.5  | 45.72775 | -28.34836 |!*|  -547|-0.001823 |:   |19.00|  0.000|0|0|5|3|1|0|0
157|IRAS  00366+4005|  9.82954 |  40.36770 |HII|  -534|-0.001781 |    |     |  0.000|4|0|5|1|0|0|0
158|DEEP2 42061171| 37.25306 |   0.78990 |G|  -526|-0.001755 |:   |23.8R|  0.000|7|0|0|0|1|0|0
159|[GSB2009] J202331.56-553318.4 |305.88150 | -55.55511 |G|  -522|-0.001741 |:   |     |  0.000|1|0|0|0|1|0|0
160|2dFGRS S322Z253| 53.09600 | -29.75978 |!*|  -510|-0.001700 |:   |17.88|  0.000|0|0|1|2|1|0|0
161|SDSS J143332.60+005659.3|218.38585 |   0.94981 |!*|  -506|-0.001687 |    |19.14|  0.000|2|0|9|4|1|0|0
162|VCC 1035|186.92544 |  12.08967 |G|  -500|-0.001668 |    |16.3g|  0.000|20|0|32|5|3|6|0
163|DEEP2 41055171| 36.51008 |   0.77417 |*|  -495|-0.001651 | ?  |22.9R|  0.000|6|0|5|0|1|0|0
164|Andromeda XIV| 12.89583 |  29.69694 |G|  -481|-0.001605 |    |     |  0.000|57|0|1|7|4|0|0
165|SDSS J114628.65+000421.5|176.61940 |   0.07265 |!*|  -480|-0.001600 |    |18.10|  0.000|1|0|13|4|1|4|0
166|2dFGRS S898Z317| 18.04667 | -13.95786 |!*|  -480|-0.001600 |    |19.48|  0.000|0|0|1|2|1|0|0
167|GALEXASC J225136.62-271554.7  |342.90229 | -27.26581 |!*|  -474|-0.001582 |:   |18.88|  0.000|0|0|9|4|1|0|0
168|DEEP2 41012850| 37.09450 |   0.47430 |*|  -468|-0.001561 | ?  |22.4R|  0.000|6|0|0|0|1|0|0
169|2MASX J00310983+3753596|  7.79104 |  37.90011 |*Cl|  -459|-0.001531 |    |16.28|  0.000|21|0|28|3|1|2|0
170|VCC 1163|187.27691 |  14.00493 |G|  -454|-0.001513 |    |16.4 |  0.000|13|0|27|5|2|4|0
171|2dFGRS S383Z227| 27.02175 | -30.13517 |!*|  -450|-0.001500 |:   |19.29|  0.000|0|0|1|2|1|0|0
172|SDSS J000611.76-084536.6|  1.54902 |  -8.76018 |!*|  -450|-0.001500 |:   |19.50|  0.000|0|0|9|3|1|4|0
173|SDSS J212530.06+001447.6|321.37528 |   0.24657 |G|  -450|-0.001500 |:   |21.6g|  0.000|1|0|15|1|1|4|0
174|SDSS J121349.28+141202.3|183.45534 |  14.20066 |G|  -450|-0.001500 |    |22.3g|  0.000|1|0|17|1|1|4|0
175|SDF J132511.5+272303|201.29792 |  27.38429 |*|  -450|-0.001500 |    |22.9B|  0.000|1|0|6|0|1|0|0
176|2dFGRS N206Z073|213.66808 |  -3.40339 |!*|  -438|-0.001462 |    |19.59|  0.000|0|0|1|2|1|0|0
177|IC 3258|185.93528 |  12.47833 |G|  -437|-0.001458 |    |13.57|  0.000|150|3|48|12|10|12|0
178|SDSS J165242.04+350508.0|253.17520 |  35.08556 |*|  -434|-0.001447 |:   |22.6g|  0.000|6|0|15|1|0|4|0
179|6dF J2342026-043105|355.51100 |  -4.51817 |*|  -430|-0.001433 |    |16.2R|  0.000|0|0|0|0|0|0|0
180|AGC 333486|357.18167 |  31.13278 |G|  -425|-0.001418 |    |     |  0.000|2|0|0|0|2|0|0
181|V Zw 029|  9.78630 |  40.57243 |*Cl|  -424|-0.001414 |    |16.30|  0.000|34|1|14|0|2|0|0
182|VCC 1264|187.54536 |  12.19550 |G|  -420|-0.001401 |    |16.8 |  0.000|22|0|16|3|2|4|0
183|SDSS J085334.22+434858.8|133.39262 |  43.81634 |*|  -420|-0.001400 |    |18.1 |  0.000|3|0|6|1|0|4|0
184|2dFGRS S548Z311|358.84475 | -34.16353 |!*|  -420|-0.001400 |:   |19.04|  0.000|0|0|1|2|1|0|0
185|Andromeda XI| 11.58333 |  33.80139 |G|  -420|-0.001400 |    |     |  0.000|58|0|1|10|5|0|0
186|6dF J0400547-072309| 60.22833 |  -7.38578 |!*|  -411|-0.001371 |    |18.5b|  0.000|0|0|1|0|1|0|0
187|2dFGRS S179Z003|337.05792 | -28.12286 |!*|  -407|-0.001358 |    |19.34|  0.000|0|0|1|2|1|0|0
188|Andromeda V| 17.57125 |  47.62806 |G|  -403|-0.001344 |    |15.92|  0.000|107|1|2|9|5|0|0
189|VCC 1239|187.47081 |  11.96231 |G|  -400|-0.001334 |    |17.8 |  0.000|11|0|1|3|2|0|2
190|VCC 0628|185.81729 |   7.68694 |G|  -398|-0.001328 |    |18.2 |  0.000|15|0|2|4|1|2|6
191|SDSS J232650.53+000326.2|351.71057 |   0.05730 |*|  -394|-0.001313 |    |22.2g|  0.000|4|0|15|1|0|4|0
192|GALEXASC J111208.86-021629.4  |168.03683 |  -2.27528 |!*|  -390|-0.001300 |:   |19.40|  0.000|0|0|5|3|1|0|0
193|2dFGRS S451Z197| 22.89825 | -32.08989 |!*|  -390|-0.001300 |    |19.20|  0.000|0|0|1|2|1|0|0
194|2dFGRS S345Z177|345.59142 | -30.12406 |!*|  -390|-0.001300 |    |19.38|  0.000|0|0|1|2|1|0|0
195|2dFGRS S898Z802| 18.18838 | -13.77964 |!*|  -390|-0.001300 |:   |18.99|  0.000|0|0|1|2|1|0|0
196|SDSS J230538.54-001308.2|346.41062 |  -0.21897 |G|  -390|-0.001300 |    |21.9g|  0.000|1|0|15|1|1|4|0
197|2MASX J00372440+3146157|  9.35163 |  31.77094 |G|  -387|-0.001291 |    |     |  0.000|3|0|13|1|2|2|0
