#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-10-14T19:43:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ543d562336ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=VII/155/rc3
#-nav=cat:VII/155&tab:{VII/155/rc3}&key:source=VII/155&HTTPPRM:&&-ref=VIZ543d562336ef&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=RA2000&-out=DE2000&-out=name&-out=altname&-out=PGC&-out=type&-out=T&-out=lumcl&-out=D25&-out=R25&-out=PA&-out=BT&-out=BT_code&-out=BoT&-out=V21&-out=cz&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VII/155/rc3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/155/rc3
#-order=I
#-out=RA2000
#-out=DE2000
#-out=name
#-out=altname
#-out=PGC
#-out=type
#-out=T
#-out=lumcl
#-out=D25
#-out=R25
#-out=PA
#-out=BT
#-out=BT_code
#-out=BoT
#-out=V21
#-out=cz
#

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	PGC	(a11)	PGC number	[ucd=meta.id;meta.main]
#Column	type	(a7)	Type	[ucd=src.morph.type]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	lumcl	(F4.1)	? Luminosity class (file "\begin{tex}\vFile{VII/155/./mtypes.tex}{mtypes.tex}\end{tex}")	[ucd=src.class.luminosity]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis [NULL integer written as an empty string]	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	BT_code	(A1)	? BT code	[ucd=meta.code]
#Column	BoT	(F5.2)	? BoT	[ucd=phot.mag;em.opt.B]
#Column	V21	(I5)	? V21 (heliocentric radial velocity) [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#Column	cz	(I5)	? Vopt= cz [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#RA2000;DE2000;name;altname;PGC;type;T;lumcl;D25;R25;PA;BT;BT_code;BoT;V21;cz
#"h:m:s";"d:m:s"; ; ; ; ; ; ;[0.1arcmin]; ;deg;mag; ;mag;km/s;km/s
#----------;---------;------------;---------------;-----------;-------;----;----;-----;-----;---;-----;-;-----;-----;-----
00 01 00.0;+06 13 00;NGC  7802   ; UGC 12902     ;PGC   81   ;.L.....;-2.0;    ; 1.05; 0.30; 52;     ; ;     ;     ;
00 01 13.6;+13 08 38;            ; MCG  2- 1-  9 ;PGC   89   ;.S?....;    ;    ; 0.94; 0.28;   ;15.87;S;15.21;     ; 5461
00 01 14.3;+34 40 33;            ; UGC 12904     ;PGC   91   ;.SB.2..; 2.0;    ; 1.02; 0.14; 40;     ; ;     ;     ;
00 01 12.0;+80 39 00;            ; UGC 12905     ;PGC   94   ;.S..6*.; 6.0;    ; 1.04; 0.98; 55;     ; ;     ;     ;
00 01 12.0;+06 19 00;            ; UGC 12903     ;PGC   96   ;.S..4..; 4.0;    ; 1.02; 0.70;155;     ; ;14.27;14742;
00 01 17.8;-53 00 30;            ; ESO  149- 12  ;PGC   99   ;.S..3*/; 3.0;    ; 1.13; 0.80; 37;     ; ;     ;     ;
00 01 18.8;-27 25 06;            ; ESO  409-  1  ;PGC  100   ;.LX.-..;-3.0;    ; 1.08; 0.21;114;     ; ;     ;     ;
00 01 19.8;+13 06 42;NGC  7803   ; UGC 12906     ;PGC  101   ;.S..0..; 0.0;    ; 1.00; 0.21; 85;14.06;S;13.60; 5367; 5260
00 01 20.0;+34 31 33;IC   5376   ; UGC 12909     ;PGC  102   ;.S..2..; 2.0;    ; 1.30; 0.76;  4;     ; ;13.38; 5029;
00 01 26.2;+13 06 46;            ; MCG  2- 1- 12 ;PGC  108   ;.S?....;    ;    ; 0.89; 0.14;   ;15.26;S;14.73;     ; 5253
00 01 26.6;+31 26 02;NGC  7805   ; UGC 12908     ;PGC  109   ;.LX.0*P;-2.0;    ; 1.07; 0.11;   ;14.20; ;13.90;     ; 4850
00 01 24.0;+05 21 00;            ; UGC 12910     ;PGC  110   ;.SBR9..; 9.0;    ; 1.00; 0.00;   ;     ; ;     ; 3949;
00 01 30.2;+31 26 33;NGC  7806   ; UGC 12911     ;PGC  112   ;.SAT4$P; 4.0;    ; 1.04; 0.16; 20;     ; ;13.88; 4768; 4761
00 01 30.0;+09 00 00;            ; UGC 12912     ;PGC  116   ;.S?....;    ;    ; 0.96; 0.10;   ;     ; ;14.68; 9249;
00 01 36.1;+33 33 45;            ; CGCG 498- 66  ;PGC  119   ;       ;    ;    ; 0.62; 0.11;   ;     ; ;14.95; 7431;
00 01 37.9;+23 29 05;A   2359+23A; UGC 12914     ;PGC  120   ;RS.R6*P; 6.0;    ; 1.36; 0.25;160;     ; ;12.51; 4371; 4425
00 01 38.7;+26 55 22;            ; CGCG 477- 39  ;PGC  121   ;       ;    ;    ;     ;     ;   ;     ; ;15.36; 7679;
00 01 36.0;+03 30 00;            ; UGC 12913     ;PGC  124   ;.S..6*.; 6.0;    ; 1.11; 0.84;  5;     ; ;     ; 6340;
00 01 42.5;+23 29 41;A   2359+23B; UGC 12915     ;PGC  129   ;.S?....;    ;    ; 1.19; 0.48;137;     ; ;13.01; 4336; 4418
00 01 52.7;-36 51 00;            ; ESO  349- 19  ;PGC  138   ;PSXT2..; 1.7;    ; 1.06; 0.11;   ;     ; ;14.93;     ;15117
00 01 55.7;-27 37 36;            ; ESO  409-  3  ;PGC  140   ;PSAS3*.; 2.7; 2.2; 1.13; 0.07;   ;14.66; ;14.26;     ; 8507
00 01 56.9;-15 27 01;WLM         ; MCG -3- 1- 15 ;PGC  143   ;.IBS9..;10.0; 9.0; 2.06; 0.46;  4;11.03;M;10.58; -120;  -75
00 01 54.0;+17 33 00;            ; UGC 12916     ;PGC  146   ;.S..7*.; 7.0;    ; 1.00; 0.19;170;     ; ;     ; 6352;
00 01 54.0;+40 19 00;            ; UGC 12917     ;PGC  148   ;.SBR3..; 3.0;    ; 1.04; 0.13; 95;     ; ;     ;     ;
00 02 03.7;-33 28 06;            ; ESO  349- 20  ;PGC  151   ;PSBS1..; 1.0;    ; 0.95; 0.23;  8;     ; ;14.31;     ; 8758
00 02 00.0;+16 35 00;IC   5377   ; UGC 12918     ;PGC  156   ;.I..9*.;10.0;    ; 1.02; 0.25;   ;     ; ;14.93; 1050;
00 02 09.5;+02 56 26;NGC  7809   ; MCG  0- 1- 19 ;PGC  158   ;.I..9?.;10.0;    ; 0.67; 0.07; 95;     ; ;     ;     ;
00 02 10.5;-43 58 31;            ; MCG -7- 1-  8 ;PGC  160   ;.LX.-..;-3.0;    ; 1.18; 0.09;   ;     ; ;     ;     ;
00 02 19.4;+12 58 19;NGC  7810   ; UGC 12919     ;PGC  163   ;.L.....;-2.0;    ; 1.09; 0.15; 80;     ; ;13.79;     ; 5532
00 02 18.0;+27 12 00;            ; UGC 12920     ;PGC  165   ;.S..4..; 4.0;    ; 1.09; 0.82; 47;     ; ;14.10; 7613;
00 02 26.7;+03 21 08;NGC  7811   ; MCG  0- 1- 20 ;PGC  168   ;CI..9??;10.0;    ; 0.61; 0.04; 15;     ; ;14.97; 7650; 7641
00 02 30.0;+44 55 00;            ; UGC     2     ;PGC  175   ;.S..8*.; 8.0;    ; 1.00; 0.73;120;     ; ;     ;     ;
00 02 34.8;-03 42 38;            ; MCG -1- 1- 24 ;PGC  176   ;.SBS4?.; 4.0; 1.9; 1.09; 0.20;   ;     ; ;     ;     ;
00 02 40.4;+08 44 15;            ; MCG  1- 1- 13 ;PGC  179   ;.S?....;    ;    ; 0.82; 0.74;   ;     ; ;14.61; 5538;
00 02 44.3;-80 20 48;            ; ESO   12- 14  ;PGC  181   ;.SBS9..; 9.0;10.0; 1.36; 0.30; 18;     ; ;14.18;     ; 1953
00 02 42.0;+18 53 00;            ; UGC     3     ;PGC  186   ;.SB.1..; 1.0;    ; 1.20; 0.25; 90;     ; ;13.94; 7882;
00 02 46.2;-52 46 06;            ; ESO  149- 13  ;PGC  187   ;.IBS9..; 9.5; 8.9; 1.18; 0.41;100;     ; ;     ;     ;
00 02 51.1;+31 29 15;            ; MCG  5- 1- 27 ;PGC  190   ;.L?....;    ;    ; 0.90; 0.00;   ;     ; ;14.99; 4949;
00 02 54.5;-34 14 06;NGC  7812   ; ESO  349- 21  ;PGC  195   ;.SXT3*.; 2.8;    ; 1.04; 0.19;125;     ; ;13.58;     ; 6842
00 03 00.0;+04 12 00;            ; UGC     4     ;PGC  201   ;.S..4..; 4.0;    ; 1.01; 0.19;155;     ; ;14.69; 8630;
00 03 05.3;-42 10 42;            ; ESO  293- 31  ;PGC  204   ;.SAR2*.; 1.7; 3.3; 1.02; 0.34;128;     ; ;     ;     ;
00 03 05.8;-01 54 47;            ; UGC     5     ;PGC  205   ;.SX.4..; 4.0;    ; 1.25; 0.29; 45;     ; ;13.33;     ; 7323
00 03 08.1;+31 02 22;            ; CGCG 498- 68  ;PGC  206   ;       ;    ;    ;     ;     ;   ;     ; ;14.73; 4797;
00 03 09.5;+21 57 35;A   0001+21 ; UGC     6     ;PGC  207   ;.P.....;99.0;    ; 0.99; 0.14;105;14.38; ;     ; 6600; 6608
00 03 10.1;+25 10 42;            ; CGCG 477- 44  ;PGC  208   ;       ;    ;    ;     ;     ;   ;     ; ;15.27; 7753;
00 03 10.2;-54 44 58;            ;               ;PGC  211   ;.LXS-..;-3.0;    ; 1.22; 0.13;   ;     ; ;     ;     ;
00 03 11.6;+15 57 56;IC   5381   ; UGC     7     ;PGC  212   ;.S..2$/; 2.0;    ; 1.16; 0.58; 54;     ; ;13.79;11230;
00 03 12.4;-35 56 12;            ; ESO  349- 22  ;PGC  213   ;.L?....;    ;    ; 1.07; 0.06;   ;     ; ;14.37;     ;14897
00 03 15.1;+16 08 45;NGC  7814   ; UGC     8     ;PGC  218   ;.SAS2*/; 2.0;    ; 1.74; 0.38;135;11.56; ;11.03; 1054; 1042
00 03 12.0;-10 45 00;            ; MCG -2- 1- 12 ;PGC  219   ;.S?....;    ;    ; 0.94; 0.57;   ;14.04;V;     ;     ; 8982
00 03 20.3;+29 47 42;            ; UGC    12     ;PGC  223   ;.S..6*.; 6.0;    ; 0.90; 0.10;100;     ; ;15.08; 6984;
00 03 18.0;+08 36 00;            ; UGC    10     ;PGC  226   ;.S..6*.; 6.0;    ; 1.18; 0.03;   ;     ; ;     ;11944;
00 03 21.7;+22 06 10;            ; UGC    11     ;PGC  227   ;.S?....;    ;    ; 0.97; 0.13; 55;     ; ;14.96; 4447;
00 03 24.1;-49 47 30;            ; ESO  193- 11  ;PGC  233   ;.L..0*P;-2.0;    ; 1.19; 0.32;148;     ; ;14.08;     ;10800
00 03 26.0;-53 19 48;            ; ESO  149- 15  ;PGC  235   ;.SXR6..; 6.0; 5.6; 1.01; 0.10; 15;     ; ;15.09;     ;11119
00 03 24.0;+27 21 00;            ; UGC    13     ;PGC  240   ;PSBS0..; 0.0;    ; 1.04; 0.04;   ;     ; ;14.41; 7721;
00 03 32.3;-10 44 42;NGC  7808   ; MCG -2- 1- 13 ;PGC  243   ;PLA.0*.;-2.0;    ; 1.10; 0.00;   ;13.48;V;     ;     ; 8923
00 03 35.3;+23 12 01;            ; UGC    14     ;PGC  250   ;.S?....;    ;    ; 1.27; 0.26; 32;     ; ;13.10;     ; 7290
00 03 42.0;+15 13 00;A   0001+14 ; UGC    17     ;PGC  255   ;.S..9*.; 9.3; 9.0; 1.39; 0.15;   ;14.80; ;14.52;  878;
00 03 42.0;+04 16 00;            ; UGC    15     ;PGC  258   ;.S..2..; 2.0;    ; 1.10; 0.73; 63;     ; ;     ;11562;
00 03 49.1;+07 28 45;NGC  7816   ; UGC    16     ;PGC  263   ;.S..4..; 4.0;    ; 1.23; 0.06;   ;     ; ;13.30; 5239; 5141
00 03 59.0;+20 45 00;NGC  7817   ; UGC    19     ;PGC  279   ;.SA.4*/; 4.0;    ; 1.55; 0.58; 45;     ; ;11.55; 2309; 2157
00 04 01.0;-11 10 37;            ; MCG -2- 1- 15 ;PGC  281   ;.S..1?.; 1.0;    ; 0.34; 0.12;   ;     ; ;     ;     ;
00 04 01.7;-11 10 27;            ; MCG -2- 1- 14 ;PGC  282   ;.SBT5*.; 5.0; 4.2; 1.06; 0.10;   ;     ; ;     ;     ;
00 04 06.0;+07 21 00;NGC  7818   ; UGC    21     ;PGC  288   ;.S..6*.; 6.0;    ; 1.02; 0.00;   ;     ; ;     ;     ;
00 04 14.0;-52 54 58;            ;               ;PGC  290   ;.LA.-*.;-3.0;    ; 1.13; 0.13;   ;     ; ;     ;     ;
00 04 14.7;-50 38 48;            ; ESO  193- 14  ;PGC  292   ;.S?....;    ;    ; 0.91; 0.16; 27;     ; ;14.64;     ;11896
00 04 12.0;+10 18 00;            ; UGC    22     ;PGC  295   ;.L.....;-2.0;    ; 1.14; 0.17; 25;     ; ;     ;     ;
00 04 12.0;+10 46 00;            ; UGC    23     ;PGC  296   ;.SBT3..; 3.0;    ; 1.13; 0.19; 20;     ; ;14.21; 7976;
00 04 12.0;+22 35 00;            ; UGC    24     ;PGC  298   ;.SB.6*.; 6.0;    ; 0.97; 0.22; 50;     ; ;14.61; 4442;
00 04 18.0;+06 09 00;            ; UGC    25     ;PGC  301   ;.S..6*.; 6.0;    ; 1.02; 0.65;123;     ; ;     ; 5074;
00 04 24.8;+31 28 25;NGC  7819   ; UGC    26     ;PGC  303   ;.SBS3..; 3.0; 2.7; 1.19; 0.12;   ;14.18; ;13.76; 4958; 4858
00 04 24.0;+05 50 00;            ; UGC    27     ;PGC  305   ;.S..6*.; 6.0;    ; 1.24; 0.22;135;     ; ;14.19; 3111;
00 04 30.6;+05 11 55;NGC  7820   ; UGC    28     ;PGC  307   ;.S..0..; 0.0;    ; 1.12; 0.36;165;     ; ;13.44;     ; 3064
00 04 32.8;+33 33 32;            ; UGC    30     ;PGC  309   ;.S?....;    ;    ; 1.08; 0.84;126;     ; ;     ; 4760;
00 04 30.0;-07 04 00;A   0002-07 ; MCG -1- 1- 28 ;PGC  312   ;.SBR3*.; 3.0; 3.6; 1.38; 0.32;   ;     ; ;     ; 3812;
00 04 30.0;+28 18 00;            ; UGC    29     ;PGC  313   ;.E...*.;-5.0;    ; 1.11; 0.03;   ;     ; ;     ;     ;
00 04 39.8;-45 37 42;            ; ESO  241- 12  ;PGC  319   ;PSXT1..; 1.0;    ; 0.94; 0.16;120;     ; ;     ;     ;
00 04 39.9;-08 06 02;            ; MCG -1- 1- 30 ;PGC  320   ;.LAR-?.;-3.0;    ; 1.15; 0.00;   ;     ; ;     ;     ;
00 04 42.2;-30 29 00;            ; ESO  409- 12  ;PGC  322   ;.E?....;    ;    ; 1.09; 0.14;154;13.95; ;13.84;     ; 8004
00 04 44.8;+26 49 55;            ; CGCG 477- 49  ;PGC  323   ;       ;    ;    ;     ;     ;   ;     ; ;14.34; 7570;
00 04 45.8;-16 01 55;            ; MCG -3- 1- 18 ;PGC  325   ;.SBR5..; 5.0; 3.1; 1.17; 0.06;100;     ; ;     ;     ;
00 04 46.9;-62 03 42;NGC  7823   ; ESO  111- 12  ;PGC  328   ;.SBS4?.; 3.8; 4.4; 1.06; 0.05;   ;     ; ;     ;     ;
00 04 42.0;-01 34 00;            ; MCG  0- 1- 25 ;PGC  329   ;.S?....;    ;    ; 0.82; 0.28;   ;     ; ;14.43;     ; 7240
00 04 48.8;-01 29 53;            ; MCG  0- 1- 24 ;PGC  330   ;.S?....;    ;    ; 0.64; 0.11;   ;     ; ;14.76;     ; 7110
00 04 51.3;-54 29 06;            ; ESO  149- 16  ;PGC  331   ;PLXS+?.;-1.0;    ; 1.07; 0.29; 10;     ; ;     ;     ;
00 04 48.0;+17 11 00;            ; UGC    31     ;PGC  332   ;.IA.9..;10.0;    ; 1.06; 0.08; 55;     ; ;14.68; 1034;
00 04 52.7;-45 29 12;            ; ESO  241- 13  ;PGC  336   ;PSXS1*.; 0.5;    ; 1.01; 0.27;164;     ; ;15.00;     ;11900
00 05 00.2;-30 30 24;            ; ESO  409- 13  ;PGC  348   ;RLB.0..;-2.4;    ; 0.96; 0.16;118;     ; ;     ;     ;
00 05 00.0;+05 07 00;            ; UGC    33     ;PGC  353   ;.SB.0..; 0.0;    ; 1.00; 0.12;   ;     ; ;     ;     ;
00 05 06.1;+06 55 15;NGC  7824   ; UGC    34     ;PGC  354   ;.S..2..; 2.0;    ; 1.20; 0.13;145;     ; ;13.67;     ; 6134
00 05 06.7;+22 11 25;            ; CGCG 478- 23  ;PGC  355   ;       ;    ;    ;     ;     ;   ;     ; ;15.33;14451;
00 05 07.4;-50 49 18;            ; ESO  193- 17  ;PGC  358   ;.L?....;    ;    ; 0.95; 0.10;171;     ; ;14.16;     ;11169
00 05 13.3;-11 30 12;IC   1529   ; MCG -2- 1- 19 ;PGC  364   ;PLAR0P*;-2.0;    ; 1.22; 0.02;   ;     ; ;     ;     ; 6903
00 05 12.0;+06 15 00;            ; UGC    35     ;PGC  365   ;.S..9..; 9.0;    ; 1.19; 0.05;   ;     ; ;     ; 3113;
00 05 12.0;+06 46 00;            ; UGC    36     ;PGC  366   ;.SAR1*.; 1.0;    ; 1.12; 0.34; 18;     ; ;13.85;     ; 6250
00 05 16.5;-16 28 42;NGC  7821   ; MCG -3- 1- 19 ;PGC  367   ;.S..6P/; 6.0;    ; 1.14; 0.48;111;     ; ;     ; 7426;
00 05 24.0;+05 10 00;            ; UGC    37     ;PGC  377   ;.SBS3..; 3.0;    ; 1.03; 0.34; 27;     ; ;13.89; 5629;
00 05 24.0;+05 13 00;NGC  7827   ; UGC    38     ;PGC  378   ;.LB....;-2.0;    ; 1.08; 0.12;   ;     ; ;     ;     ;
00 05 29.0;+32 31 52;            ; MCG  5- 1- 31 ;PGC  381   ;.S?....;    ;    ; 0.89; 0.00;   ;     ; ;14.53;10422;
00 05 29.3;-50 16 12;            ; ESO  193- 19  ;PGC  382   ;.SXT5?P; 5.0; 1.1; 1.29; 0.24; 78;14.33; ;13.84;     ;10381
00 05 29.4;-49 37 12;            ; ESO  193- 18  ;PGC  383   ;RSAR3*.; 3.0; 4.4; 1.14; 0.38; 84;     ; ;14.04;     ;11400
00 05 30.0;+53 38 00;            ; UGC    39     ;PGC  393   ;.S..6*.; 6.0;    ; 1.07; 0.32;  7;     ; ;     ;     ;
00 05 39.5;-53 48 59;            ;               ;PGC  399   ;.LAR-*.;-3.0;    ; 1.25; 0.21;   ;     ; ;     ;     ;
00 05 42.0;+27 26 00;            ; UGC    40     ;PGC  415   ;.SB?...;    ;    ; 1.06; 0.21;115;     ; ;14.37; 7531;
00 05 48.0;-13 59 00;            ; MCG -2- 1- 22 ;PGC  425   ;.SB?...;    ;    ; 1.04; 0.49;   ;     ; ;     ;     ; 5921
00 05 56.0;+22 29 28;            ; UGC    41     ;PGC  431   ;.SB.6*.; 6.0;    ; 1.01; 0.49; 30;     ; ;     ; 6597;
00 05 58.8;-36 08 12;            ; ESO  349- 27  ;PGC  437   ;.SXT2P.; 1.5;    ; 0.94; 0.07;   ;     ; ;14.43;     ; 8411
00 05 58.8;-36 06 54;            ; ESO  349- 26D ;PGC  438   ;.L...P/;-2.0;    ; 1.05; 0.64;   ;     ; ;14.33;     ; 8683
00 06 04.0;-52 13 06;            ; ESO  193- 22  ;PGC  449   ;.LA.-*.;-3.0;    ; 1.02; 0.29; 10;     ; ;     ;     ;
00 06 00.0;+13 07 00;            ; UGC    42     ;PGC  450   ;.SB.7*.; 7.0;    ; 0.96; 0.00;   ;     ; ;     ; 5481;
00 06 00.0;+14 25 00;            ; UGC    43     ;PGC  451   ;.S..8*.; 8.0;    ; 1.00; 0.49;175;     ; ;     ; 5291;
00 06 09.1;-50 38 48;            ; ESO  193- 23  ;PGC  456   ;.L?....;    ;    ; 0.81; 0.38;155;     ; ;14.86;     ;10166
